Date,Portfolio_Value,Regime,Holdings
2016-05-02,100000.0,0.0,{}
2016-05-03,99996.8791832053,0.0,{'BIL': 1.0}
2016-05-04,99974.9879860007,0.0,{'BIL': 1.0}
2016-05-05,99974.9879860007,0.0,{'BIL': 1.0}
2016-05-06,99996.8791832053,0.0,{'BIL': 1.0}
2016-05-09,99996.8791832053,0.0,{'BIL': 1.0}
2016-05-10,99996.8791832053,0.0,{'BIL': 1.0}
2016-05-11,99953.11737290256,0.0,{'BIL': 1.0}
2016-05-12,99953.11737290256,0.0,{'BIL': 1.0}
2016-05-13,99953.11737290256,0.0,{'BIL': 1.0}
2016-05-16,99953.11737290256,0.0,{'BIL': 1.0}
2016-05-17,99953.11737290256,0.0,{'BIL': 1.0}
2016-05-18,99974.9879860007,0.0,{'BIL': 1.0}
2016-05-19,99953.11737290256,0.0,{'BIL': 1.0}
2016-05-20,99974.9879860007,0.0,{'BIL': 1.0}
2016-05-23,99996.8791832053,0.0,{'BIL': 1.0}
2016-05-24,99953.11737290256,0.0,{'BIL': 1.0}
2016-05-25,99974.9879860007,0.0,{'BIL': 1.0}
2016-05-26,99974.9879860007,0.0,{'BIL': 1.0}
2016-05-27,99996.8791832053,0.0,{'BIL': 1.0}
2016-05-31,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-01,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-02,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-03,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-06,100018.67775193088,0.0,{'BIL': 1.0}
2016-06-07,100018.67775193088,0.0,{'BIL': 1.0}
2016-06-08,100018.67775193088,0.0,{'BIL': 1.0}
2016-06-09,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-10,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-13,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-14,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-15,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-16,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-17,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-20,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-21,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-22,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-23,99996.8791832053,0.0,{'BIL': 1.0}
2016-06-24,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-27,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-28,99974.9879860007,0.0,{'BIL': 1.0}
2016-06-29,99974.9879860007,0.0,{'BIL': 1.0}
